statut_compte,duree_credit_mois,historique_credit,motif_pret,montant_credit_eur,epargne,anciennete_emploi,taux_effort_pct,statut_personnel,autres_debiteurs,duree_residence_ans,patrimoine,age_annees,autres_plans_paiement,logement,nombre_credits_existants,profession,personnes_a_charge,telephone,travailleur_etranger,statut_defaut_brut,statut_defaut,probabilite_defaut_pct,decision_credit,client_id
A12,24,A32,A40,3512,A62,A74,2,A93,A101,3,A123,38,A141,A152,2,A173,1,A192,A201,1,0,35.1,⚠️ ÉTUDE MANUELLE,GER-CLI-1158
A14,6,A34,A43,1898,A65,A73,1,A93,A101,2,A121,34,A143,A152,2,A172,2,A191,A201,1,0,18.0,✅ ACCORDÉ,GER-CLI-1159
A14,24,A34,A43,2872,A62,A75,3,A93,A101,4,A121,36,A143,A152,1,A173,2,A192,A201,1,0,38.5,⚠️ ÉTUDE MANUELLE,GER-CLI-1160
A14,18,A34,A40,1055,A61,A72,4,A92,A101,1,A122,30,A143,A152,2,A173,1,A191,A201,1,0,35.4,⚠️ ÉTUDE MANUELLE,GER-CLI-1161
A14,15,A32,A44,1262,A63,A74,4,A93,A101,3,A122,36,A143,A152,2,A173,1,A192,A201,1,0,31.4,⚠️ ÉTUDE MANUELLE,GER-CLI-1162
A12,10,A32,A40,7308,A61,A71,2,A93,A101,4,A124,70,A141,A153,1,A174,1,A192,A201,1,0,24.9,✅ ACCORDÉ,GER-CLI-1163
A14,36,A32,A40,909,A63,A75,4,A93,A101,4,A122,36,A143,A152,1,A173,1,A191,A201,1,0,44.9,⚠️ ÉTUDE MANUELLE,GER-CLI-1164
A14,6,A32,A42,2978,A63,A73,1,A93,A101,2,A123,32,A143,A152,1,A173,1,A192,A201,1,0,21.2,✅ ACCORDÉ,GER-CLI-1165
A11,18,A32,A42,1131,A61,A71,4,A92,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,2,1,34.3,⚠️ ÉTUDE MANUELLE,GER-CLI-1166
A12,11,A32,A42,1577,A64,A72,4,A92,A101,1,A121,20,A143,A152,1,A173,1,A191,A201,1,0,37.0,⚠️ ÉTUDE MANUELLE,GER-CLI-1167
A14,24,A32,A42,3972,A61,A74,2,A92,A101,4,A122,25,A143,A151,1,A173,1,A192,A201,1,0,42.9,⚠️ ÉTUDE MANUELLE,GER-CLI-1168
A12,24,A34,A49,1935,A61,A75,4,A91,A101,4,A121,31,A143,A152,2,A173,1,A192,A201,2,1,42.3,⚠️ ÉTUDE MANUELLE,GER-CLI-1169
A11,15,A30,A40,950,A61,A75,4,A93,A101,3,A123,33,A143,A151,2,A173,2,A191,A201,2,1,31.7,⚠️ ÉTUDE MANUELLE,GER-CLI-1170
A14,12,A32,A42,763,A61,A73,4,A92,A101,1,A121,26,A143,A152,1,A173,1,A192,A201,1,0,32.2,⚠️ ÉTUDE MANUELLE,GER-CLI-1171
A12,24,A33,A42,2064,A61,A71,3,A92,A101,2,A122,34,A143,A152,1,A174,1,A192,A201,2,1,36.6,⚠️ ÉTUDE MANUELLE,GER-CLI-1172
A12,8,A32,A43,1414,A61,A73,4,A93,A103,2,A121,33,A143,A152,1,A173,1,A191,A202,1,0,28.7,✅ ACCORDÉ,GER-CLI-1173
A11,21,A33,A46,3414,A61,A72,2,A93,A101,1,A122,26,A143,A152,2,A173,1,A191,A201,2,1,38.3,⚠️ ÉTUDE MANUELLE,GER-CLI-1174
A14,30,A31,A41,7485,A65,A71,4,A92,A101,1,A121,53,A141,A152,1,A174,1,A192,A201,2,1,56.5,❌ REFUSÉ,GER-CLI-1175
A11,12,A32,A42,2577,A61,A73,2,A91,A101,1,A123,42,A143,A152,1,A173,1,A191,A201,1,0,23.3,✅ ACCORDÉ,GER-CLI-1176
A11,6,A34,A43,338,A63,A75,4,A93,A101,4,A123,52,A143,A152,2,A173,1,A191,A201,1,0,18.1,✅ ACCORDÉ,GER-CLI-1177
A14,12,A32,A43,1963,A61,A74,4,A93,A101,2,A123,31,A143,A151,2,A174,2,A192,A201,1,0,33.9,⚠️ ÉTUDE MANUELLE,GER-CLI-1178
A11,21,A34,A40,571,A61,A75,4,A93,A101,4,A121,65,A143,A152,2,A173,1,A191,A201,1,0,21.7,✅ ACCORDÉ,GER-CLI-1179
A14,36,A33,A49,9572,A61,A72,1,A91,A101,1,A123,28,A143,A152,2,A173,1,A191,A201,2,1,65.8,❌ REFUSÉ,GER-CLI-1180
A12,36,A33,A49,4455,A61,A73,2,A91,A101,2,A121,30,A142,A152,2,A174,1,A192,A201,2,1,51.2,❌ REFUSÉ,GER-CLI-1181
A11,21,A31,A40,1647,A65,A73,4,A93,A101,2,A122,40,A143,A152,2,A172,2,A191,A201,2,1,34.9,⚠️ ÉTUDE MANUELLE,GER-CLI-1182
A14,24,A34,A42,3777,A64,A73,4,A93,A101,4,A121,50,A143,A152,1,A173,1,A192,A201,1,0,39.8,⚠️ ÉTUDE MANUELLE,GER-CLI-1183
A12,18,A34,A40,884,A61,A75,4,A93,A101,4,A123,36,A141,A152,1,A173,2,A192,A201,2,1,32.1,⚠️ ÉTUDE MANUELLE,GER-CLI-1184
A14,15,A34,A43,1360,A61,A73,4,A93,A101,2,A122,31,A143,A152,2,A173,1,A191,A201,1,0,33.9,⚠️ ÉTUDE MANUELLE,GER-CLI-1185
A12,9,A31,A41,5129,A61,A75,2,A92,A101,4,A124,74,A141,A153,1,A174,2,A192,A201,2,1,17.6,✅ ACCORDÉ,GER-CLI-1186
A12,16,A34,A40,1175,A61,A71,2,A93,A101,3,A123,68,A143,A153,3,A171,1,A192,A201,1,0,14.1,✅ ACCORDÉ,GER-CLI-1187
A11,12,A32,A43,674,A62,A74,4,A94,A101,1,A122,20,A143,A152,1,A173,1,A191,A201,2,1,34.5,⚠️ ÉTUDE MANUELLE,GER-CLI-1188
A12,18,A30,A42,3244,A61,A73,1,A92,A101,4,A123,33,A141,A152,2,A173,1,A192,A201,1,0,28.2,✅ ACCORDÉ,GER-CLI-1189
A14,24,A32,A49,4591,A64,A73,2,A93,A101,3,A122,54,A143,A152,3,A174,1,A192,A201,2,1,31.6,⚠️ ÉTUDE MANUELLE,GER-CLI-1190
A12,48,A30,A49,3844,A62,A74,4,A93,A101,4,A124,34,A143,A153,1,A172,2,A191,A201,2,1,65.4,❌ REFUSÉ,GER-CLI-1191
A12,27,A32,A49,3915,A61,A73,4,A93,A101,2,A123,36,A143,A152,1,A173,2,A192,A201,2,1,49.4,⚠️ ÉTUDE MANUELLE,GER-CLI-1192
A14,6,A32,A43,2108,A61,A74,2,A94,A101,2,A121,29,A143,A151,1,A173,1,A191,A201,1,0,23.4,✅ ACCORDÉ,GER-CLI-1193
A12,45,A32,A43,3031,A62,A73,4,A93,A103,4,A122,21,A143,A151,1,A173,1,A191,A201,2,1,66.5,❌ REFUSÉ,GER-CLI-1194
A12,9,A34,A46,1501,A61,A75,2,A92,A101,3,A123,34,A143,A152,2,A174,1,A192,A201,2,1,21.7,✅ ACCORDÉ,GER-CLI-1195
A14,6,A34,A43,1382,A61,A73,1,A92,A101,1,A123,28,A143,A152,2,A173,1,A192,A201,1,0,18.7,✅ ACCORDÉ,GER-CLI-1196
A12,12,A32,A42,951,A62,A72,4,A92,A101,4,A123,27,A141,A151,4,A173,1,A191,A201,2,1,32.4,⚠️ ÉTUDE MANUELLE,GER-CLI-1197
A12,24,A32,A41,2760,A65,A75,4,A93,A101,4,A124,36,A141,A153,1,A173,1,A192,A201,1,0,42.9,⚠️ ÉTUDE MANUELLE,GER-CLI-1198
A12,18,A33,A42,4297,A61,A75,4,A91,A101,3,A124,40,A143,A152,1,A174,1,A192,A201,2,1,42.2,⚠️ ÉTUDE MANUELLE,GER-CLI-1199
A14,9,A34,A46,936,A63,A75,4,A93,A101,2,A123,52,A143,A152,2,A173,1,A192,A201,1,0,20.9,✅ ACCORDÉ,GER-CLI-1200
A11,12,A32,A40,1168,A61,A73,4,A94,A101,3,A121,27,A143,A152,1,A172,1,A191,A201,1,0,33.1,⚠️ ÉTUDE MANUELLE,GER-CLI-1201
A14,27,A33,A49,5117,A61,A74,3,A93,A101,4,A123,26,A143,A152,2,A173,1,A191,A201,1,0,53.9,❌ REFUSÉ,GER-CLI-1202
A11,12,A32,A48,902,A61,A74,4,A94,A101,4,A122,21,A143,A151,1,A173,1,A191,A201,2,1,34.9,⚠️ ÉTUDE MANUELLE,GER-CLI-1203
A14,12,A34,A40,1495,A61,A75,4,A93,A101,1,A121,38,A143,A152,2,A172,2,A191,A201,1,0,29.4,✅ ACCORDÉ,GER-CLI-1204
A11,30,A34,A41,10623,A61,A75,3,A93,A101,4,A124,38,A143,A153,3,A174,2,A192,A201,1,0,69.7,❌ REFUSÉ,GER-CLI-1205
A14,12,A34,A42,1935,A61,A75,4,A93,A101,4,A121,43,A143,A152,3,A173,1,A192,A201,1,0,28.7,✅ ACCORDÉ,GER-CLI-1206
A12,12,A34,A44,1424,A61,A74,4,A93,A101,3,A122,26,A143,A152,1,A173,1,A191,A201,1,0,34.4,⚠️ ÉTUDE MANUELLE,GER-CLI-1207
A11,24,A32,A49,6568,A61,A73,2,A94,A101,2,A123,21,A142,A152,1,A172,1,A191,A201,1,0,54.6,❌ REFUSÉ,GER-CLI-1208
A14,12,A32,A41,1413,A64,A74,3,A93,A101,2,A122,55,A143,A152,1,A173,1,A191,A202,1,0,19.3,✅ ACCORDÉ,GER-CLI-1209
A14,9,A34,A43,3074,A65,A73,1,A93,A101,2,A121,33,A143,A152,2,A173,2,A191,A201,1,0,22.6,✅ ACCORDÉ,GER-CLI-1210
A14,36,A32,A43,3835,A65,A75,2,A92,A101,4,A121,45,A143,A152,1,A172,1,A192,A201,1,0,41.5,⚠️ ÉTUDE MANUELLE,GER-CLI-1211
A11,27,A30,A49,5293,A61,A71,2,A93,A101,4,A122,50,A142,A152,2,A173,1,A192,A201,2,1,37.8,⚠️ ÉTUDE MANUELLE,GER-CLI-1212
A13,30,A33,A49,1908,A61,A75,4,A93,A101,4,A121,66,A143,A152,1,A174,1,A192,A201,2,1,30.3,⚠️ ÉTUDE MANUELLE,GER-CLI-1213
A14,36,A34,A43,3342,A65,A75,4,A93,A101,2,A123,51,A143,A152,1,A173,1,A192,A201,1,0,46.5,⚠️ ÉTUDE MANUELLE,GER-CLI-1214
A12,6,A34,A48,932,A65,A74,1,A92,A101,3,A122,39,A143,A152,2,A172,1,A191,A201,1,0,14.7,✅ ACCORDÉ,GER-CLI-1215
A11,18,A30,A49,3104,A61,A74,3,A93,A101,1,A122,31,A141,A152,1,A173,1,A192,A201,1,0,37.4,⚠️ ÉTUDE MANUELLE,GER-CLI-1216
A13,36,A32,A43,3913,A61,A73,2,A93,A101,2,A121,23,A143,A152,1,A173,1,A192,A201,1,0,52.7,❌ REFUSÉ,GER-CLI-1217
A11,24,A32,A42,3021,A61,A73,2,A91,A101,2,A121,24,A143,A151,1,A172,1,A191,A201,1,0,40.0,⚠️ ÉTUDE MANUELLE,GER-CLI-1218
A14,10,A32,A40,1364,A61,A73,2,A92,A101,4,A123,64,A143,A152,1,A173,1,A192,A201,1,0,13.3,✅ ACCORDÉ,GER-CLI-1219
A12,12,A32,A43,625,A61,A72,4,A94,A103,1,A121,26,A141,A152,1,A172,1,A191,A201,1,0,31.7,⚠️ ÉTUDE MANUELLE,GER-CLI-1220
A11,12,A32,A46,1200,A65,A73,4,A92,A101,4,A122,23,A141,A151,1,A173,1,A192,A201,1,0,35.0,⚠️ ÉTUDE MANUELLE,GER-CLI-1221
A14,12,A32,A43,707,A61,A73,4,A93,A101,2,A121,30,A141,A152,2,A173,1,A191,A201,1,0,30.3,⚠️ ÉTUDE MANUELLE,GER-CLI-1222
A14,24,A33,A49,2978,A65,A73,4,A93,A101,4,A121,32,A143,A152,2,A173,2,A192,A201,1,0,45.7,⚠️ ÉTUDE MANUELLE,GER-CLI-1223
A14,15,A32,A41,4657,A61,A73,3,A93,A101,2,A123,30,A143,A152,1,A173,1,A192,A201,1,0,41.3,⚠️ ÉTUDE MANUELLE,GER-CLI-1224
A14,36,A30,A45,2613,A61,A73,4,A93,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,1,0,55.8,❌ REFUSÉ,GER-CLI-1225
A12,48,A32,A43,10961,A64,A74,1,A93,A102,2,A124,27,A141,A152,2,A173,1,A192,A201,2,1,77.6,❌ REFUSÉ,GER-CLI-1226
A11,12,A32,A42,7865,A61,A75,4,A93,A101,4,A124,53,A143,A153,1,A174,1,A192,A201,2,1,44.5,⚠️ ÉTUDE MANUELLE,GER-CLI-1227
A14,9,A32,A43,1478,A61,A74,4,A93,A101,2,A123,22,A143,A152,1,A173,1,A191,A201,2,1,34.3,⚠️ ÉTUDE MANUELLE,GER-CLI-1228
A11,24,A32,A42,3149,A61,A72,4,A93,A101,1,A124,22,A141,A153,1,A173,1,A191,A201,1,0,51.3,❌ REFUSÉ,GER-CLI-1229
A13,36,A32,A43,4210,A61,A73,4,A93,A101,2,A123,26,A143,A152,1,A173,1,A191,A201,2,1,62.0,❌ REFUSÉ,GER-CLI-1230
A14,9,A32,A40,2507,A63,A75,2,A93,A101,4,A124,51,A143,A153,1,A172,1,A191,A201,1,0,18.6,✅ ACCORDÉ,GER-CLI-1231
A14,12,A32,A43,2141,A62,A74,3,A93,A101,1,A124,35,A143,A152,1,A173,1,A191,A201,1,0,28.5,✅ ACCORDÉ,GER-CLI-1232
A12,18,A32,A43,866,A61,A73,4,A94,A103,2,A121,25,A143,A152,1,A172,1,A191,A201,1,0,37.0,⚠️ ÉTUDE MANUELLE,GER-CLI-1233
A14,4,A34,A43,1544,A61,A74,2,A93,A101,1,A121,42,A143,A152,3,A172,2,A191,A201,1,0,17.0,✅ ACCORDÉ,GER-CLI-1234
A11,24,A32,A43,1823,A61,A71,4,A93,A101,2,A123,30,A142,A152,1,A174,2,A191,A201,2,1,42.4,⚠️ ÉTUDE MANUELLE,GER-CLI-1235
A12,6,A32,A40,14555,A65,A71,1,A93,A101,2,A122,23,A143,A152,1,A171,1,A192,A201,2,1,64.6,❌ REFUSÉ,GER-CLI-1236
A12,21,A32,A49,2767,A62,A75,4,A91,A101,2,A123,61,A141,A151,2,A172,1,A191,A201,2,1,29.4,✅ ACCORDÉ,GER-CLI-1237
A14,12,A34,A43,1291,A61,A73,4,A92,A101,2,A122,35,A143,A152,2,A173,1,A191,A201,1,0,30.0,⚠️ ÉTUDE MANUELLE,GER-CLI-1238
A11,30,A32,A43,2522,A61,A75,1,A93,A103,3,A122,39,A143,A152,1,A173,2,A191,A201,1,0,31.0,⚠️ ÉTUDE MANUELLE,GER-CLI-1239
A11,24,A32,A40,915,A65,A75,4,A92,A101,2,A123,29,A141,A152,1,A173,1,A191,A201,2,1,39.6,⚠️ ÉTUDE MANUELLE,GER-CLI-1240
A14,6,A32,A43,1595,A61,A74,3,A93,A101,2,A122,51,A143,A152,1,A173,2,A191,A201,1,0,18.2,✅ ACCORDÉ,GER-CLI-1241
A11,48,A30,A41,4605,A61,A75,3,A93,A101,4,A124,24,A143,A153,2,A173,2,A191,A201,2,1,67.9,❌ REFUSÉ,GER-CLI-1242
A14,12,A34,A49,1185,A61,A73,3,A92,A101,2,A121,27,A143,A152,2,A173,1,A191,A201,1,0,28.9,✅ ACCORDÉ,GER-CLI-1243
A14,12,A31,A48,3447,A63,A73,4,A92,A101,3,A121,35,A143,A152,1,A172,2,A191,A201,1,0,37.2,⚠️ ÉTUDE MANUELLE,GER-CLI-1244
A14,24,A32,A49,1258,A61,A74,4,A93,A101,1,A121,25,A143,A152,1,A173,1,A192,A201,1,0,42.8,⚠️ ÉTUDE MANUELLE,GER-CLI-1245
A14,12,A34,A43,717,A61,A75,4,A93,A101,4,A121,52,A143,A152,3,A173,1,A191,A201,1,0,21.9,✅ ACCORDÉ,GER-CLI-1246
A14,6,A30,A40,1204,A62,A73,4,A93,A101,1,A124,35,A141,A151,1,A173,1,A191,A202,1,0,26.1,✅ ACCORDÉ,GER-CLI-1247
A13,24,A32,A42,1925,A61,A73,2,A93,A101,2,A121,26,A143,A152,1,A173,1,A191,A201,1,0,35.2,⚠️ ÉTUDE MANUELLE,GER-CLI-1248
A14,18,A32,A43,433,A61,A71,3,A92,A102,4,A121,22,A143,A151,1,A173,1,A191,A201,2,1,32.4,⚠️ ÉTUDE MANUELLE,GER-CLI-1249
A11,6,A34,A40,666,A64,A74,3,A92,A101,4,A121,39,A143,A152,2,A172,1,A192,A201,1,0,19.8,✅ ACCORDÉ,GER-CLI-1250
A13,12,A32,A42,2251,A61,A73,1,A92,A101,2,A123,46,A143,A152,1,A172,1,A191,A201,1,0,17.9,✅ ACCORDÉ,GER-CLI-1251
A12,30,A32,A40,2150,A61,A73,4,A92,A103,2,A124,24,A141,A152,1,A173,1,A191,A201,2,1,51.1,❌ REFUSÉ,GER-CLI-1252
A14,24,A33,A42,4151,A62,A73,2,A93,A101,3,A122,35,A143,A152,2,A173,1,A191,A201,1,0,38.8,⚠️ ÉTUDE MANUELLE,GER-CLI-1253
A12,9,A32,A42,2030,A65,A74,2,A93,A101,1,A123,24,A143,A152,1,A173,1,A192,A201,1,0,26.8,✅ ACCORDÉ,GER-CLI-1254
A12,60,A33,A43,7418,A65,A73,1,A93,A101,1,A121,27,A143,A152,1,A172,1,A191,A201,1,0,74.5,❌ REFUSÉ,GER-CLI-1255
A14,24,A34,A43,2684,A61,A73,4,A93,A101,2,A121,35,A143,A152,2,A172,1,A191,A201,1,0,43.1,⚠️ ÉTUDE MANUELLE,GER-CLI-1256
A11,12,A31,A43,2149,A61,A73,4,A91,A101,1,A124,29,A143,A153,1,A173,1,A191,A201,2,1,35.5,⚠️ ÉTUDE MANUELLE,GER-CLI-1257
A14,15,A32,A41,3812,A62,A72,1,A92,A101,4,A123,23,A143,A152,1,A173,1,A192,A201,1,0,32.3,⚠️ ÉTUDE MANUELLE,GER-CLI-1258
A14,11,A34,A43,1154,A62,A71,4,A92,A101,4,A121,57,A143,A152,3,A172,1,A191,A201,1,0,20.8,✅ ACCORDÉ,GER-CLI-1259
A11,12,A32,A42,1657,A61,A73,2,A93,A101,2,A121,27,A143,A152,1,A173,1,A191,A201,1,0,26.3,✅ ACCORDÉ,GER-CLI-1260
A11,24,A32,A43,1603,A61,A75,4,A92,A101,4,A123,55,A143,A152,1,A173,1,A191,A201,1,0,30.2,⚠️ ÉTUDE MANUELLE,GER-CLI-1261
A11,18,A34,A40,5302,A61,A75,2,A93,A101,4,A124,36,A143,A153,3,A174,1,A192,A201,1,0,38.1,⚠️ ÉTUDE MANUELLE,GER-CLI-1262
A14,12,A34,A46,2748,A61,A75,2,A92,A101,4,A124,57,A141,A153,3,A172,1,A191,A201,1,0,18.7,✅ ACCORDÉ,GER-CLI-1263
A14,10,A34,A40,1231,A61,A75,3,A93,A101,4,A121,32,A143,A152,2,A172,2,A191,A202,1,0,25.8,✅ ACCORDÉ,GER-CLI-1264
A12,15,A32,A43,802,A61,A75,4,A93,A101,3,A123,37,A143,A152,1,A173,2,A191,A201,2,1,29.5,✅ ACCORDÉ,GER-CLI-1265
A14,36,A34,A49,6304,A65,A75,4,A93,A101,4,A121,36,A143,A152,2,A173,1,A191,A201,1,0,64.7,❌ REFUSÉ,GER-CLI-1266
A14,24,A32,A43,1533,A61,A72,4,A92,A101,3,A123,38,A142,A152,1,A173,1,A192,A201,1,0,37.5,⚠️ ÉTUDE MANUELLE,GER-CLI-1267
A11,14,A32,A40,8978,A61,A75,1,A91,A101,4,A122,45,A143,A152,1,A174,1,A192,A202,2,1,39.3,⚠️ ÉTUDE MANUELLE,GER-CLI-1268
A14,24,A32,A43,999,A65,A75,4,A93,A101,2,A123,25,A143,A152,2,A173,1,A191,A201,1,0,41.8,⚠️ ÉTUDE MANUELLE,GER-CLI-1269
A14,18,A32,A40,2662,A65,A74,4,A93,A101,3,A122,32,A143,A152,1,A173,1,A191,A202,1,0,40.1,⚠️ ÉTUDE MANUELLE,GER-CLI-1270
A14,12,A34,A42,1402,A63,A74,3,A92,A101,4,A123,37,A143,A151,1,A173,1,A192,A201,1,0,25.5,✅ ACCORDÉ,GER-CLI-1271
A12,48,A31,A40,12169,A65,A71,4,A93,A102,4,A124,36,A143,A153,1,A174,1,A192,A201,1,0,86.4,❌ REFUSÉ,GER-CLI-1272
A12,48,A32,A43,3060,A61,A74,4,A93,A101,4,A121,28,A143,A152,2,A173,1,A191,A201,2,1,65.5,❌ REFUSÉ,GER-CLI-1273
A11,30,A32,A45,11998,A61,A72,1,A91,A101,1,A124,34,A143,A152,1,A172,1,A192,A201,2,1,67.3,❌ REFUSÉ,GER-CLI-1274
A14,9,A32,A43,2697,A61,A73,1,A93,A101,2,A121,32,A143,A152,1,A173,2,A191,A201,1,0,22.0,✅ ACCORDÉ,GER-CLI-1275
A14,18,A34,A43,2404,A61,A73,2,A92,A101,2,A123,26,A143,A152,2,A173,1,A191,A201,1,0,32.8,⚠️ ÉTUDE MANUELLE,GER-CLI-1276
A11,12,A32,A42,1262,A65,A75,2,A91,A101,4,A122,49,A143,A152,1,A172,1,A192,A201,1,0,17.8,✅ ACCORDÉ,GER-CLI-1277
A14,6,A32,A42,4611,A61,A72,1,A92,A101,4,A122,32,A143,A152,1,A173,1,A191,A201,2,1,25.6,✅ ACCORDÉ,GER-CLI-1278
A14,24,A32,A43,1901,A62,A73,4,A93,A101,4,A123,29,A143,A151,1,A174,1,A192,A201,1,0,43.2,⚠️ ÉTUDE MANUELLE,GER-CLI-1279
A14,15,A34,A41,3368,A64,A75,3,A93,A101,4,A124,23,A143,A151,2,A173,1,A192,A201,1,0,40.0,⚠️ ÉTUDE MANUELLE,GER-CLI-1280
A14,12,A32,A42,1574,A61,A73,4,A93,A101,2,A121,50,A143,A152,1,A173,1,A191,A201,1,0,24.9,✅ ACCORDÉ,GER-CLI-1281
A13,18,A31,A43,1445,A65,A74,4,A93,A101,4,A123,49,A141,A152,1,A172,1,A191,A201,1,0,28.4,✅ ACCORDÉ,GER-CLI-1282
A14,15,A34,A42,1520,A65,A75,4,A93,A101,4,A122,63,A143,A152,1,A173,1,A191,A201,1,0,21.7,✅ ACCORDÉ,GER-CLI-1283
A12,24,A34,A40,3878,A62,A72,4,A91,A101,2,A123,37,A143,A152,1,A173,1,A192,A201,1,0,46.5,⚠️ ÉTUDE MANUELLE,GER-CLI-1284
A11,47,A32,A40,10722,A61,A72,1,A92,A101,1,A121,35,A143,A152,1,A172,1,A192,A201,1,0,73.5,❌ REFUSÉ,GER-CLI-1285
A11,48,A32,A41,4788,A61,A74,4,A93,A101,3,A122,26,A143,A152,1,A173,2,A191,A201,1,0,71.9,❌ REFUSÉ,GER-CLI-1286
A12,48,A33,A410,7582,A62,A71,2,A93,A101,4,A124,31,A143,A153,1,A174,1,A192,A201,1,0,70.2,❌ REFUSÉ,GER-CLI-1287
A12,12,A32,A43,1092,A61,A73,4,A92,A103,4,A121,49,A143,A152,2,A173,1,A192,A201,1,0,23.9,✅ ACCORDÉ,GER-CLI-1288
A11,24,A33,A43,1024,A61,A72,4,A94,A101,4,A121,48,A142,A152,1,A173,1,A191,A201,2,1,31.3,⚠️ ÉTUDE MANUELLE,GER-CLI-1289
A14,12,A32,A49,1076,A61,A73,2,A94,A101,2,A121,26,A143,A152,1,A173,1,A192,A202,1,0,25.0,✅ ACCORDÉ,GER-CLI-1290
A12,36,A32,A41,9398,A61,A72,1,A94,A101,4,A123,28,A143,A151,1,A174,1,A192,A201,2,1,65.2,❌ REFUSÉ,GER-CLI-1291
A11,24,A34,A41,6419,A61,A75,2,A92,A101,4,A124,44,A143,A153,2,A174,2,A192,A201,1,0,42.6,⚠️ ÉTUDE MANUELLE,GER-CLI-1292
A13,42,A34,A41,4796,A61,A75,4,A93,A101,4,A124,56,A143,A153,1,A173,1,A191,A201,1,0,54.0,❌ REFUSÉ,GER-CLI-1293
A14,48,A34,A49,7629,A65,A75,4,A91,A101,2,A123,46,A141,A152,2,A174,2,A191,A201,1,0,72.4,❌ REFUSÉ,GER-CLI-1294
A12,48,A32,A42,9960,A61,A72,1,A92,A101,2,A123,26,A143,A152,1,A173,1,A192,A201,2,1,75.3,❌ REFUSÉ,GER-CLI-1295
A14,12,A32,A41,4675,A65,A72,1,A92,A101,4,A123,20,A143,A151,1,A173,1,A191,A201,1,0,34.6,⚠️ ÉTUDE MANUELLE,GER-CLI-1296
A14,10,A32,A40,1287,A65,A75,4,A93,A102,2,A122,45,A143,A152,1,A172,1,A191,A202,1,0,24.8,✅ ACCORDÉ,GER-CLI-1297
A14,18,A32,A42,2515,A61,A73,3,A93,A101,4,A121,43,A143,A152,1,A173,1,A192,A201,1,0,30.1,⚠️ ÉTUDE MANUELLE,GER-CLI-1298
A12,21,A34,A42,2745,A64,A74,3,A93,A101,2,A123,32,A143,A152,2,A173,1,A192,A201,1,0,37.8,⚠️ ÉTUDE MANUELLE,GER-CLI-1299
A14,6,A32,A40,672,A61,A71,1,A92,A101,4,A121,54,A143,A152,1,A171,1,A192,A201,1,0,10.9,✅ ACCORDÉ,GER-CLI-1300
A12,36,A30,A43,3804,A61,A73,4,A92,A101,1,A123,42,A143,A152,1,A173,1,A192,A201,2,1,52.8,❌ REFUSÉ,GER-CLI-1301
A13,24,A34,A40,1344,A65,A74,4,A93,A101,2,A121,37,A141,A152,2,A172,2,A191,A201,2,1,37.3,⚠️ ÉTUDE MANUELLE,GER-CLI-1302
A11,10,A34,A40,1038,A61,A74,4,A93,A102,3,A122,49,A143,A152,2,A173,1,A192,A201,1,0,22.7,✅ ACCORDÉ,GER-CLI-1303
A14,48,A34,A40,10127,A63,A73,2,A93,A101,2,A124,44,A141,A153,1,A173,1,A191,A201,2,1,72.7,❌ REFUSÉ,GER-CLI-1304
A14,6,A32,A42,1543,A64,A73,4,A91,A101,2,A121,33,A143,A152,1,A173,1,A191,A201,1,0,27.9,✅ ACCORDÉ,GER-CLI-1305
A14,30,A32,A41,4811,A65,A74,2,A92,A101,4,A122,24,A142,A151,1,A172,1,A191,A201,1,0,51.0,❌ REFUSÉ,GER-CLI-1306
A11,12,A32,A43,727,A62,A72,4,A94,A101,3,A124,33,A143,A152,1,A172,1,A192,A201,2,1,29.1,✅ ACCORDÉ,GER-CLI-1307
A12,8,A32,A42,1237,A61,A73,3,A92,A101,4,A121,24,A143,A152,1,A173,1,A191,A201,2,1,27.8,✅ ACCORDÉ,GER-CLI-1308
A12,9,A32,A40,276,A61,A73,4,A94,A101,4,A121,22,A143,A151,1,A172,1,A191,A201,1,0,30.4,⚠️ ÉTUDE MANUELLE,GER-CLI-1309
A12,48,A32,A410,5381,A65,A71,3,A93,A101,4,A124,40,A141,A153,1,A171,1,A192,A201,1,0,63.3,❌ REFUSÉ,GER-CLI-1310
A14,24,A32,A42,5511,A62,A73,4,A93,A101,1,A123,25,A142,A152,1,A173,1,A191,A201,1,0,58.6,❌ REFUSÉ,GER-CLI-1311
A13,24,A32,A42,3749,A61,A72,2,A92,A101,4,A123,26,A143,A152,1,A173,1,A191,A201,1,0,41.6,⚠️ ÉTUDE MANUELLE,GER-CLI-1312
A12,12,A32,A40,685,A61,A74,2,A94,A101,3,A123,25,A141,A152,1,A172,1,A191,A201,2,1,24.3,✅ ACCORDÉ,GER-CLI-1313
A13,4,A32,A40,1494,A65,A72,1,A93,A101,2,A121,29,A143,A152,1,A172,2,A191,A202,1,0,17.7,✅ ACCORDÉ,GER-CLI-1314
A11,36,A31,A42,2746,A61,A75,4,A93,A101,4,A123,31,A141,A152,1,A173,1,A191,A201,2,1,54.3,❌ REFUSÉ,GER-CLI-1315
A11,12,A32,A42,708,A61,A73,2,A93,A103,3,A122,38,A143,A152,1,A172,2,A191,A201,1,0,19.9,✅ ACCORDÉ,GER-CLI-1316
